No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
141. Khu di tích nhà Trần tại Đông Triều, Đông Triều, Lịch sử đặc biệt, 1962, đặc biệt 2013 tại 2383/QĐ-TTg
142. Chùa Hồ Thiên, thuộc Khu di tích nhà Trần, Đông Triều, Lịch sử văn hóa, 2006, N/A
143. Chùa Quỳnh Lâm, Đông Triều, Đông Triều, Văn hóa nghệ thuật, 1991, N/A
144. Chùa Mỹ Cụ, Đông Triều, Văn hóa nghệ thuật, 2000, N/A
145. Khu di tích Hổ Lao, Đông Triều, Văn hóa nghệ thuật, 2001, N/A
146. Chùa Cảnh Huống, Đông Triều, Lịch sử văn hóa, 1993, Cụm di tích xã Yên Đức
147. Chùa Ngọa Vân, Đông Triều, Lịch sử văn hóa, 2006, N/A
148. Đệ tứ chiến khu Đông Triều, Đông Triều, Lịch sử, 1994, N/A
149. Đền An Biên, Thủy An- Đông Triều, Lịch sử văn hóa, 2017, 808/QĐ
150. Đền Quan Đại, Quảng Yên, Lịch sử văn hóa, 2014, N/A
151. Miếu Tiên Công Cẩm La, Quảng Yên, Lịch sử văn hóa, 1990, N/A
152. Đình Lưu Khê, Quảng Yên, Văn hóa nghệ thuật, 1995, N/A
153. Chùa Yên Đông, Quảng Yên, Văn hóa nghệ thuật, 2000, N/A
154. Miếu Tiên Công, Liên Hòa, Quảng Yên, Lịch sử, 2001, N/A
155. Nhà thờ họ Vũ (Vũ Tam Tỉnh), Quảng Yên, Lịch sử văn hóa, 2001, N/A
156. Nhà thờ họ Nguyễn (Nguyễn Thực, Nguyễn Nghệ), Quảng Yên, Lịch sử văn hóa, 2001, N/A
157. Nhà thờ họ Dương (Dương Quang Tín), Quảng Yên, Lịch sử văn hóa, 2001, N/A
158. Nhà thờ họ Hoàng (Hoàng Kim Bảng), Quảng Yên, Lịch sử văn hóa, 2001, N/A
159. Nhà thờ họ Bùi (Bùi Bách Niên), Quảng Yên, Lịch sử văn hóa, 2001, N/A
160. Nhà thờ họ Vũ (Vũ Song), Quảng Yên, Lịch sử văn hóa, 2001, N/A
161. Nhà thờ họ Đỗ (Đỗ Độ), Quảng Yên, Lịch sử văn hóa, 2001, N/A
162. Nhà thờ họ Đào (Đào Bá Lệ), Quảng Yên, Lịch sử văn hóa, 2001, N/A
163. Nhà thờ họ Lê (Lê Mở, Lê Khép), Quảng Yên, Lịch sử văn hóa, 2001, N/A
164. Nhà thờ họ Phạm (Cụm di tích Tiên Công), Quảng Yên, Lịch sử, 2012, N/A
165. Di tích khảo cổ núi Đầu Rằm, Quảng Yên, Khảo cổ, 2012, N/A
166. Đình Đền Công - Miếu Cu Linh, Uông Bí, Lịch sử đặc biệt, 2000, N/A
167. Quần thể di tích danh thắng Yên Tử, Uông Bí, Lịch sử đặc biệt, 1974, đặc biệt 2012 tại 1419/QĐ-TTg
168. Di tích thương cảng Vân Đồn (Cống Đông, Tây và Bến Cái Làng), Vân Đồn, Lịch sử, 2003, N/A
169. Đình Quan Lạn, Vân Đồn, Văn hóa nghệ thuật, 1999, N/A
170. Cụm di tích và danh thắng núi Bài Thơ - Chùa Long Tiên - Đền Đức Ông, Hạ Long, Danh thắng, 1992, N/A
171. Trận địa pháo 37 li của Xí nghiệp tuyển than Hòn Gai, Hạ Long, Lịch sử, 1997, N/A
172. Vịnh Hạ Long, Hạ Long, Danh thắng, 1962, đặc biệt 2009, số 1272/QĐ-TTg
173. Hạ Long, Danh thắng, N/A, N/A, 
174. Di chỉ Hòn Hai Cô Tiên, Hạ Long, Khảo cổ, 2005, N/A
175. Trung tâm Điện chính Bưu điện Quảng Ninh trên núi Bài Thơ, Hạ Long, Lịch sử, 2000, N/A
176. Chùa Nam Thọ, Móng Cái, Văn hóa nghệ thuật, 1999, N/A
177. Đình Trà Cổ, Móng Cái, Văn hóa nghệ thuật, 1974, N/A
178. Chùa Xuân Lan, Móng Cái, Văn hóa nghệ thuật, 1999, N/A
179. Núi Mằn, Hoành Bồ, Danh thắng, 2014, N/A
180. Đình Phong Cốc, Quảng Yên, Văn hóa kiến trúc đặc biệt, 1988, N/A
181. Khu Di tích chiến thắng Bạch Đằng, Quảng Yên & Uông Bí, Lịch sử văn hóa đặc biệt, 2012, KDT Bạch Đằng. 1419/QĐ-TTg
182. Bãi cọc Yên Giang, Nam Hòa- Quảng Yên, Lịch sử đặc biệt, 1988, KDT Bạch Đằng
183. Cây lim Giếng Rừng, Quảng Yên, Lịch sử đặc biệt, 1998, KDT Bạch Đằng
184. Đền Trần Hưng Đạo - Miếu Vua Bà, Quảng Yên, Lịch sử đặc biệt, 1989, KDT Bạch Đằng
185. Đình Trung Bản, Quảng Yên, Lịch sử đặc biệt, 1991, KDT Bạch Đằng
186. Đình Yên Giang, Quảng Yên, Lịch sử đặc biệt, 1996, KDT Bạch Đằng
187. Đền Trung Cốc, Quảng Yên, Lịch sử đặc biệt, 1996, KDT Bạch Đằng
188. Địa điểm lưu niệm Chủ tịch Hồ Chí Minh trên đảo Ngọc Vừng, Ngọc Vừng- Quan Lạn, Di tích lịch sử, 2023, N/A
189. Lán ở và làm việc của Chủ tịch Hồ Chí Minh, Trung Trực- Yên Sơn, Lịch sử, 2015, số 2251/QĐDL
190. Yên Sơn, Lịch sử, N/A, N/A, 
191. Đền Hạ Tuyên Quang, Tuyên Quang, Lịch sử, kiến trúc, 1991, N/A
192. Đền Thượng Tuyên Quang, Tràng Đà- Tp. Tuyên Quang, Lịch sử, 2015, số 2250/QĐDL
193. Đền Ỷ La, Tp. Tuyên Quang, Lịch sử, 2015, số 2249/QĐDL
194. Thành nhà Mạc (Tuyên Quang), Tuyên Quang, Lịch sử, 1991, Năm 2010 đã phá cũ, xây cái mới khác
195. Di tích Nha Công an Trung ương, Sơn Dương, Lịch sử, 1999, N/A
196. Chiến khu Tân Trào. Gồm 40 di tích quốc gia, Sơn Dương & Yên Sơn, Lịch sử đặc biệt, N/A, đặc biệt 2012
197. Khu bảo tồn thiên nhiên Na Hang - Lâm Bình, Na Hang & Lâm Bình, Danh thắng đăc biệt, 2018, N/A
198. Thác Bản Ba, Trung Hà- Chiêm Hóa, Danh thắng, 2007, N/A
199. Hang Phia Vài, Lâm Bình, Khảo cổ, 2009, N/A
200. Động Song Long, Khuôn Hà- Na Hang, Danh thắng, 2009, N/A
201. Hang Phia Muồn, Na Hang, Khảo cổ, 2009, N/A
202. Đền Pác Tạ, Na Hang, Lịch sử, 2009, N/A
203. Chùa Phúc Lâm (Na Hang), Thượng Lâm- Na Hang, Lịch sử, 2009, N/A
204. Cơ quan Ấn loát đặc biệt Trung ương, Năng Khả- Na Hang, Lịch sử, 2009, N/A
205. Thắng cảnh Thượng Lâm, Na Hang, Danh thắng, 2009, N/A
206. Xưởng Quân khí H52 và địa điểm sản xuất diêm tiêu, Na Hang, Lịch sử, 2009, N/A
207. Thác Nậm Me, Na Hang, Danh thắng, 2009, N/A
208. Tt. Na Hang, Na Hang, Danh thắng, N/A, N/A, 
209. Địa điểm Nha Ngân khố - Tín dụng, Tứ Quận- Yên Sơn, Lịch sử, 2018, N/A
210. Địa điểm chùa Lang Đạo, Tú Thịnh- Sơn Dương, Khảo cổ, 2018, N/A
211. Yên Phú, Hàm Yên, Danh thắng, N/A, N/A, 
212. Hang Đá Đen, Yên Phú- Hàm Yên, Khảo cổ, 2018, N/A
213. Thác Lụa, Hòa Phú- Chiêm Hóa, Danh thắng, 2018, N/A
214. Địa điểm cơ quan Ban Nông vận Trung ương và Hội Nông dân cứu quốc Trung ương (1949-1952), Điềm Mặc- Định Hóa, Lịch sử, 2020, N/A
215. Địa điểm cơ quan Tổng bộ Việt Minh (1947-1948) và Nơi làm việc của đồng chí Hoàng Quốc Việt (1947-1950), Điềm Mặc- Định Hóa, Lịch sử, 2020, N/A
216. Địa điểm thành lập Tổng cục cung cấp (11/7/1950), Thanh Định- Định Hóa, Lịch sử, 2015, số 2246/QĐDL
217. Nơi ở và làm việc của Đại tướng Võ Nguyên Giáp tại Keo En (1953-1954), Thanh Định- Định Hóa, Lịch sử văn hóa, 2017, số 809/QĐ
218. Nơi làm việc của Bộ Tổng tham mưu Quân đội Nhân dân Việt Nam (1949-1954), Bảo Linh- Định Hóa, Lịch sử, 2015, số 2245/QĐDL
219. Xưởng Đội Cấn - Nhà máy quân giới K77 (1947-1954), Đồng Thịnh- Định Hóa, Lịch sử văn hóa, 2017, số 813/QĐ
220. Địa điểm cơ quan Bộ Tổng tham mưu Quân đội nhân dân Việt Nam và Nơi ở, làm việc của Tổng tham mưu trưởng Hoàng Văn Thái (1949-1954), Định Biên- Định Hóa, Lịch sử văn hóa, 2017, số 814/QĐ
221. An toàn khu Định Hóa (gồm 13 di tích thành phần), Định Hóa, Lịch sử đặc biệt, 1981, đặc biệt 2012
222. Di tích Nhà tù Chợ Chu, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
223. Nơi thành lập Việt Nam Giải phóng quân, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
224. Nơi Chủ tịch Hồ Chí Minh ở và làm việc tại đồi Khau Tý năm 1947, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
225. Địa điểm Bác ở và làm việc tại Đồi Tỉn Keo (1948 - 1954), Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
226. Cụm di tích Bác ở Khuôn Tát, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
227. Địa điểm Tổng Bí thư Trường Chinh và Văn phòng Trung ương Đảng ở Phông Hiển (1947 -1949), Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
228. Địa điểm cơ quan Bộ tổng Tư lệnh Quân đội nhân dân Việt Nam (1949-1954), Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
229. Thắng cảnh Thác Khuôn Tát, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
230. Địa điểm thành lập Hội Nhà báo Việt Nam, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
231. Địa điểm thành lập Ủy ban Hòa bình Việt Nam (Ủy ban bảo vệ hòa bình thế giới của Việt Nam), Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
232. Định Hóa, Lịch sử đặc biệt, N/A, N/A, 
233. Địa điểm Báo Quân đội nhân dân ra số đầu 20/10/1950, Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
234. Địa điểm Đồi Pụ Đồn, nơi Chủ tịch Hồ Chí Minh chủ trì lễ phong quân hàm Đại tướng Tổng chỉ huy quân đội quốc gia và dân quân tự vệ cho đồng chí Võ Nguyên Giáp (1948), Định Hóa, Lịch sử đặc biệt, N/A, ATK Định Hóa
235. Định Hóa, Lịch sử, N/A, N/A, 
236. Danh lam thắng cảnh Chùa Hang, Định Hóa, Danh thắng, 2015, N/A
237. Định Hóa, Lịch sử, N/A, N/A, 
238. Định Hóa, Lịch sử, N/A, N/A, 
239. Định Hóa, Lịch sử, N/A, N/A, 
240. Phú Bình, Lịch sử, N/A, N/A, 
241. Phú Bình, Văn hóa nghệ thuật, N/A, N/A, 
242. Phú Bình, Văn hóa nghệ thuật, N/A, N/A, 
243. Phú Bình, Văn hóa nghệ thuật, N/A, N/A, 
244. Phú Bình, Văn hóa nghệ thuật, N/A, N/A, 
245. Phú Bình, Văn hóa nghệ thuật, N/A, N/A, 
246. Phú Bình, Lịch sử, N/A, N/A, 
247. Tiên Phong, Phổ Yên, Lịch sử, N/A, N/A, 
248. Phổ Yên, Lịch sử, N/A, N/A, 
249. Chùa Tây Phúc, Phổ Yên, Văn hóa nghệ thuật, 2007, N/A
250. Phổ Yên, Lịch sử, N/A, N/A, 
251. Đại Từ, Lịch sử, N/A, N/A, 
252. Khu di tích Núi Văn - Núi Võ, Đại Từ, Lịch sử, 09/02/1981, 10-VHTT/QĐ 
253. Nơi thành lập cơ sở Đảng Cộng sản đầu tiên của Đảng bộ tỉnh Thái Nguyên năm 1936, Đại Từ, Lịch sử, 1999, N/A
254. Địa điểm thành lập cơ quan chỉ huy Chiến khu Nguyễn Huệ, Đại Từ, Lịch sử, 1999, N/A
255. Nơi làm việc của Chủ tịch Hồ Chí Minh (1954) tại đồi Thành Trúc, Đại Từ, Lịch sử, 2006, N/A
256. Đại Từ, Lịch sử, N/A, N/A, 
257. Địa điểm lễ nhận Quốc thư đầu tiên của Nước Việt Nam Dân Chủ Cộng Hòa (01/9/1954), Tiên Hội- Đại Từ, Lịch sử, 2018, N/A
